user_id,churned
3,True
4,False
5,True
7,True
8,True
9,True
11,False
13,True
14,True
15,False
16,True
18,False
20,False
23,True
24,True
25,False
26,True
29,True
30,False
31,True
32,True
34,False
36,True
38,True
40,True
42,True
43,True
44,False
45,True
46,True
47,False
48,True
51,True
52,True
53,True
55,True
56,True
57,True
58,True
59,True
60,True
61,True
63,True
64,True
65,True
66,True
67,False
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
78,True
80,True
81,True
83,False
84,True
85,True
86,True
87,False
88,False
90,True
91,False
92,True
94,True
95,True
97,False
98,True
99,True
100,True
101,True
103,True
104,True
107,False
108,True
109,False
111,True
112,True
114,True
115,True
118,True
119,True
121,True
122,True
123,True
125,False
128,False
129,True
131,False
133,True
141,True
142,True
143,True
144,True
146,False
147,True
148,True
149,True
150,False
152,False
153,True
154,True
157,False
158,False
159,False
160,True
161,True
163,False
164,True
165,True
166,True
167,False
170,False
171,True
172,True
176,True
177,True
179,True
181,True
182,True
183,True
187,False
188,True
190,False
191,True
192,True
194,True
195,False
196,True
197,True
198,True
200,True
201,True
203,True
204,True
205,True
208,True
214,True
216,True
222,True
223,True
224,True
225,True
229,True
231,True
232,True
236,True
238,True
239,True
241,True
242,False
243,True
244,True
245,True
246,True
248,True
249,True
253,True
255,True
257,True
261,True
263,True
264,True
265,False
267,True
270,True
271,True
272,True
274,False
277,True
278,True
281,True
283,True
284,True
286,True
287,True
288,False
290,True
292,True
296,True
299,False
300,True
301,True
302,True
303,True
304,True
305,True
306,True
307,True
308,True
309,True
312,True
314,True
315,True
316,False
317,True
318,True
320,True
321,True
322,True
323,True
327,True
328,True
329,True
330,True
331,True
332,True
337,True
338,True
339,False
341,False
342,True
343,False
344,True
347,True
348,True
350,True
351,True
352,True
353,True
354,True
355,False
356,True
357,True
358,True
360,True
363,True
365,True
366,False
369,True
370,False
371,True
373,True
374,True
376,True
377,True
380,True
381,True
384,False
385,False
387,True
388,False
391,True
393,True
397,True
398,True
399,True
400,False
402,True
403,True
404,True
405,True
406,False
408,False
410,True
411,True
412,True
413,True
415,False
416,True
417,True
418,True
419,True
420,True
422,True
423,False
425,False
426,True
427,True
431,True
435,True
436,True
438,True
439,False
442,True
443,True
445,True
446,True
447,True
455,False
457,True
458,False
459,True
461,True
462,True
463,True
464,True
465,True
467,True
469,False
471,False
473,True
474,True
475,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,False
492,True
494,True
495,True
496,False
497,False
498,False
499,True
500,True
504,True
505,True
507,True
509,False
513,True
514,True
515,True
516,False
517,True
518,True
520,False
521,True
522,True
523,True
524,True
526,True
527,False
529,True
530,True
531,True
532,False
534,True
536,False
538,True
541,False
543,False
544,False
550,True
551,True
552,False
554,True
555,True
556,True
557,True
560,False
562,False
568,True
569,True
570,False
571,True
572,True
573,False
575,True
576,False
578,False
579,True
581,True
582,True
583,True
585,True
586,True
587,False
588,False
589,True
591,False
592,True
593,True
594,True
596,False
597,True
598,True
599,True
601,True
602,True
603,True
604,True
607,True
608,True
609,True
611,False
614,True
617,True
618,False
619,False
620,True
621,True
624,True
627,False
630,True
631,True
633,True
635,True
637,True
638,True
641,True
642,False
643,True
645,True
647,True
648,False
651,True
653,True
659,True
660,True
661,False
663,True
664,True
670,True
674,False
675,True
676,True
677,True
680,True
682,True
683,False
685,True
686,True
687,False
689,False
691,True
692,True
694,False
696,False
697,True
699,False
700,True
701,True
702,False
703,True
704,True
705,True
708,True
709,False
710,True
711,True
713,True
716,True
717,True
718,True
719,False
720,True
722,True
723,True
724,True
725,True
726,True
728,True
729,False
730,True
734,True
735,True
740,True
741,True
742,True
744,False
746,True
748,True
749,True
751,False
753,False
755,True
757,False
758,True
759,True
761,True
762,False
763,False
764,False
765,True
766,True
768,True
769,False
772,True
774,False
776,True
777,True
779,True
780,True
781,True
782,False
783,True
784,True
785,False
786,True
788,True
792,True
793,False
794,False
795,True
796,True
798,False
799,True
800,True
801,False
802,True
804,True
805,True
806,True
807,True
808,True
809,False
810,False
811,True
814,True
815,False
816,True
818,False
822,True
823,False
825,True
826,True
829,False
830,True
833,False
834,True
835,True
840,False
841,False
844,True
845,False
848,False
849,True
850,True
852,True
853,False
